"code","name","ipo_date","papan_pencatatan","industry"
"AALI","Astra Agro Lestari Tbk.","1997-12-09","Utama","Consumer Non-Cyclicals"
"ABBA","Mahaka Media Tbk.","2002-04-03","Pemantauan Khusus","Consumer Cyclicals"
"ABDA","Asuransi Bina Dana Arta Tbk.","1989-07-06","Pemantauan Khusus","Financials"
"ABMM","ABM Investama Tbk.","2011-12-06","Utama","Energy"
"ACES","Aspirasi Hidup Indonesia Tbk.","2007-11-06","Utama","Consumer Cyclicals"
"ACRO","Samcro Hyosung Adilestari Tbk.","2024-01-11","Pengembangan","Consumer Cyclicals"
"ACST","Acset Indonusa Tbk.","2013-06-24","Pengembangan","Infrastructure"
"ADCP","Adhi Commuter Properti Tbk.","2021-05-21","Pengembangan","Properties & Real Estate"
"ADES","Akasha Wira International Tbk.","1994-06-13","Pengembangan","Consumer Non-Cyclicals"
"ADHI","Adhi Karya (Persero) Tbk.","2004-03-18","Utama","Infrastructure"
"ADMF","Adira Dinamika Multi Finance T","2004-03-31","Pengembangan","Financials"
"ADMG","Polychem Indonesia Tbk","1993-10-20","Pengembangan","Basic Materials"
"ADMR","Adaro Minerals Indonesia Tbk.","2022-01-03","Utama","Energy"
"ADRO","Alamtri Resources Indonesia Tb","2008-07-16","Utama","Energy"
"AEGS","Anugerah Spareparts Sejahtera","2023-09-11","Akselerasi","Consumer Cyclicals"
"AGAR","Asia Sejahtera Mina Tbk.","2019-12-02","Pengembangan","Consumer Non-Cyclicals"
"AGII","Samator Indo Gas Tbk.","2016-09-28","Pengembangan","Basic Materials"
"AGRO","Bank Raya Indonesia Tbk.","2003-08-08","Utama","Financials"
"AGRS","Bank IBK Indonesia Tbk.","2014-12-22","Pengembangan","Financials"
"AHAP","Asuransi Harta Aman Pratama Tbk.","1990-09-14","Pengembangan","Financials"
"AIMS","Artha Mahiya Investama Tbk.","2001-07-20","Pengembangan","Energy"
"AISA","FKS Food Sejahtera Tbk.","1997-06-11","Utama","Consumer Non-Cyclicals"
"AKKU","Anugerah Kagum Karya Utama Tbk","2004-11-01","Pemantauan Khusus","Consumer Cyclicals"
"AKPI","Argha Karya Prima Industry Tbk","1992-12-18","Pengembangan","Basic Materials"
"AKRA","AKR Corporindo Tbk.","1994-10-03","Utama","Energy"
"AKSI","Mineral Sumberdaya Mandiri Tbk","2001-07-13","Pengembangan","Transportation & Logistics"
"ALDO","Alkindo Naratama Tbk.","2011-07-12","Pengembangan","Basic Materials"
"ALII","Ancara Logistics Indonesia Tbk","2024-02-07","Utama","Energy"
"ALKA","Alakasa Industrindo Tbk","1990-07-12","Pengembangan","Basic Materials"
"ALMI","Alumindo Light Metal Industry","1997-01-02","Pemantauan Khusus","Basic Materials"
"ALTO","Tri Banyan Tirta Tbk.","2012-07-10","Pemantauan Khusus","Consumer Non-Cyclicals"
"AMAG","Asuransi Multi Artha Guna Tbk.","2005-12-23","Pengembangan","Financials"
"AMAN","Makmur Berkah Amanda Tbk.","2020-03-13","Pengembangan","Properties & Real Estate"
"AMAR","Bank Amar Indonesia Tbk.","2020-01-09","Pengembangan","Financials"
"AMFG","Asahimas Flat Glass Tbk.","1995-11-08","Utama","Industrials"
"AMIN","Ateliers Mecaniques D Indonesi","2015-12-10","Pengembangan","Industrials"
"AMMN","Amman Mineral Internasional Tb","2023-07-07","Utama","Basic Materials"
"AMMS","Agung Menjangan Mas Tbk.","2022-08-04","Akselerasi","Consumer Non-Cyclicals"
"AMOR","Ashmore Asset Management Indon","2020-01-14","Pengembangan","Financials"
"AMRT","Sumber Alfaria Trijaya Tbk.","2009-01-15","Utama","Consumer Non-Cyclicals"
"ANDI","Andira Agro Tbk.","2018-08-16","Pemantauan Khusus","Consumer Non-Cyclicals"
"ANJT","Austindo Nusantara Jaya Tbk.","2013-05-08","Pengembangan","Consumer Non-Cyclicals"
