accounts,2024_4,2023_4,2022_4,2021_4,2020_4,code
Free Cash Flow,1178680000.0,564985000.0,3460645000.0,1255618000.0,,ADRO.JK
Repurchase Of Capital Stock,-89378000.0,-18372000.0,-42866000.0,-97070000.0,,ADRO.JK
Repayment Of Debt,-1350194000.0,-403856000.0,-372788000.0,-681946000.0,,ADRO.JK
Issuance Of Debt,1150553000.0,214064000.0,418520000.0,816614000.0,,ADRO.JK
Issuance Of Capital Stock,272166000.0,0.0,,,,ADRO.JK
Capital Expenditure,-837466000.0,-587773000.0,-403609000.0,-180714000.0,,ADRO.JK
End Cash Position,1405918000.0,3311232000.0,4067358000.0,1811141000.0,,ADRO.JK
Other Cash Adjustment Outside Changein Cash,-1681054000.0,,,,,ADRO.JK
Beginning Cash Position,3311232000.0,4067358000.0,1811141000.0,1173703000.0,,ADRO.JK
Effect Of Exchange Rate Changes,-32512000.0,7232000.0,-42526000.0,-860000.0,,ADRO.JK
Changes In Cash,-191748000.0,-763358000.0,2298743000.0,638298000.0,,ADRO.JK
Financing Cash Flow,-3642189000.0,-1333690000.0,-798315000.0,-153422000.0,,ADRO.JK
Net Other Financing Charges,31115000.0,64084000.0,121641000.0,42947000.0,,ADRO.JK
Cash Dividends Paid,-3429396000.0,-1000000000.0,-650000000.0,-146816000.0,,ADRO.JK
Common Stock Dividend Paid,-3429396000.0,-1000000000.0,-650000000.0,-146816000.0,,ADRO.JK
Net Common Stock Issuance,182788000.0,-18372000.0,-42866000.0,-97070000.0,,ADRO.JK
Common Stock Payments,-89378000.0,-18372000.0,-42866000.0,-97070000.0,,ADRO.JK
Common Stock Issuance,272166000.0,0.0,,,,ADRO.JK
Net Issuance Payments Of Debt,-199641000.0,-189792000.0,45732000.0,134668000.0,,ADRO.JK
Net Long Term Debt Issuance,-199641000.0,-189792000.0,45732000.0,134668000.0,,ADRO.JK
Long Term Debt Payments,-1350194000.0,-403856000.0,-372788000.0,-681946000.0,,ADRO.JK
Long Term Debt Issuance,1150553000.0,214064000.0,418520000.0,816614000.0,,ADRO.JK
