accounts,2024,2023,2022,2021,2020,code
Tax Effect Of Unusual Items,246857.029957,-556265.06863,6808291.417377,-18710308.95589,,ADRO.JK
Tax Rate For Calcs,0.212808,0.201911,0.367519,0.307928,,ADRO.JK
Normalized EBITDA,856024000.0,886295000.0,4539285000.0,1641194000.0,,ADRO.JK
Total Unusual Items,1160000.0,-2755000.0,18525000.0,-60762000.0,,ADRO.JK
Total Unusual Items Excluding Goodwill,1160000.0,-2755000.0,18525000.0,-60762000.0,,ADRO.JK
Net Income From Continuing Operation Net Minority Interest,461365000.0,439865000.0,2493080000.0,933492000.0,,ADRO.JK
Reconciled Depreciation,3591000.0,4893000.0,6847000.0,10847000.0,,ADRO.JK
Reconciled Cost Of Revenue,1204690000.0,1267731000.0,3449427000.0,2222972000.0,,ADRO.JK
EBITDA,857184000.0,883540000.0,4557810000.0,1580432000.0,,ADRO.JK
EBIT,853593000.0,878647000.0,4550963000.0,1569585000.0,,ADRO.JK
Net Interest Income,65820000.0,1594000.0,-41667000.0,-49331000.0,,ADRO.JK
Interest Expense,43773000.0,60059000.0,74744000.0,83334000.0,,ADRO.JK
Interest Income,118218000.0,65965000.0,47397000.0,34003000.0,,ADRO.JK
Normalized Income,460451857.029957,442063734.93137,2481363291.417377,975543691.04411,,ADRO.JK
Net Income From Continuing And Discontinued Operation,1380013000.0,1641437000.0,2493080000.0,933492000.0,,ADRO.JK
Total Expenses,1345047000.0,1361676000.0,3825401000.0,2416043000.0,,ADRO.JK
Total Operating Income As Reported,711401000.0,764935000.0,4308347000.0,1528279000.0,,ADRO.JK
Diluted Average Shares,30731355000.0,30917363000.0,31037420000.0,31893160000.0,,ADRO.JK
Basic Average Shares,30731355000.0,30917363000.0,31037420000.0,31893160000.0,,ADRO.JK
Diluted EPS,0.04491,0.05309,0.08032,0.02927,,ADRO.JK
Basic EPS,0.04491,0.05309,0.08032,0.02927,,ADRO.JK
Diluted NI Availto Com Stockholders,1380013000.0,1641437000.0,2493080000.0,933492000.0,,ADRO.JK
